apn,NAME1,NAMELSAD1,NAME2,NAMELSAD2,STUPS,NAMELSADCO,STATE_NAME,LSAD,ALAND,AWATER
"011011113","16",Census Tract 16,,,CA,San Bernardino County,California,CT,12421088,0
"011011114","16",Census Tract 16,,,CA,San Bernardino County,California,CT,12421088,0
"011012110","16",Census Tract 16,,,CA,San Bernardino County,California,CT,12421088,0
"011031145","13.12",Census Tract 13.12,,,CA,San Bernardino County,California,CT,2701222,0
"011031146","13.12",Census Tract 13.12,,,CA,San Bernardino County,California,CT,2701222,0
"011031148","13.12",Census Tract 13.12,,,CA,San Bernardino County,California,CT,2701222,0
"011031149","13.12",Census Tract 13.12,,,CA,San Bernardino County,California,CT,2701222,0
"011031150","13.12",Census Tract 13.12,,,CA,San Bernardino County,California,CT,2701222,0
"011031151","13.12",Census Tract 13.12,,,CA,San Bernardino County,California,CT,2701222,0
"011031159","13.12",Census Tract 13.12,,,CA,San Bernardino County,California,CT,2701222,0
"011031160","13.12",Census Tract 13.12,,,CA,San Bernardino County,California,CT,2701222,0
"011321141","16",Census Tract 16,,,CA,San Bernardino County,California,CT,12421088,0
"011322131","16",Census Tract 16,,,CA,San Bernardino County,California,CT,12421088,0
"011327110","16",Census Tract 16,,,CA,San Bernardino County,California,CT,12421088,0
"011327123","16",Census Tract 16,,,CA,San Bernardino County,California,CT,12421088,0
"011327125","16",Census Tract 16,,,CA,San Bernardino County,California,CT,12421088,0
"011327126","16",Census Tract 16,,,CA,San Bernardino County,California,CT,12421088,0
"011327127","16",Census Tract 16,,,CA,San Bernardino County,California,CT,12421088,0
"011327128","16",Census Tract 16,,,CA,San Bernardino County,California,CT,12421088,0
"011327136","16",Census Tract 16,,,CA,San Bernardino County,California,CT,12421088,0
"011327137","16",Census Tract 16,,,CA,San Bernardino County,California,CT,12421088,0
"011327138","16",Census Tract 16,,,CA,San Bernardino County,California,CT,12421088,0
"011327139","16",Census Tract 16,,,CA,San Bernardino County,California,CT,12421088,0
"011334329","18.03",Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
"011334331","18.03",Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
"011334334","18.03",Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
"011334339","18.03",Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
"011335118","18.03",Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
"011335119","18.03",Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
"011335120","18.03",Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
"011335122","18.03",Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
"011335123","18.03",Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
"011335124","18.03",Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
"011335125","18.03",Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
"011335126","18.03",Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
"011335127","18.03",Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
"011336147","18.03",Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
"011336149","18.03",Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
"011336150","18.03",Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
"011336155","18.03",Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
