apn,NAME1,NAMELSAD1,NAME2,NAMELSAD2
"011011113","16",Census Tract 16,,
"011011114","16",Census Tract 16,,
"011012110","16",Census Tract 16,,
"011031145","13.12",Census Tract 13.12,,
"011031146","13.12",Census Tract 13.12,,
"011031148","13.12",Census Tract 13.12,,
"011031149","13.12",Census Tract 13.12,,
"011031150","13.12",Census Tract 13.12,,
"011031151","13.12",Census Tract 13.12,,
"011031159","13.12",Census Tract 13.12,,
"011031160","13.12",Census Tract 13.12,,
"011321141","16",Census Tract 16,,
"011322131","16",Census Tract 16,,
"011327110","16",Census Tract 16,,
"011327123","16",Census Tract 16,,
"011327125","16",Census Tract 16,,
"011327126","16",Census Tract 16,,
"011327127","16",Census Tract 16,,
"011327128","16",Census Tract 16,,
"011327136","16",Census Tract 16,,
"011327137","16",Census Tract 16,,
"011327138","16",Census Tract 16,,
"011327139","16",Census Tract 16,,
"011334329","18.03",Census Tract 18.03,,
"011334331","18.03",Census Tract 18.03,,
"011334334","18.03",Census Tract 18.03,,
"011334339","18.03",Census Tract 18.03,,
"011335118","18.03",Census Tract 18.03,,
"011335119","18.03",Census Tract 18.03,,
"011335120","18.03",Census Tract 18.03,,
"011335122","18.03",Census Tract 18.03,,
"011335123","18.03",Census Tract 18.03,,
"011335124","18.03",Census Tract 18.03,,
"011335125","18.03",Census Tract 18.03,,
"011335126","18.03",Census Tract 18.03,,
"011335127","18.03",Census Tract 18.03,,
"011336147","18.03",Census Tract 18.03,,
"011336149","18.03",Census Tract 18.03,,
"011336150","18.03",Census Tract 18.03,,
"011336155","18.03",Census Tract 18.03,,
"011336156","18.03",Census Tract 18.03,,
"011336157","18.03",Census Tract 18.03,,
"011336158","18.03",Census Tract 18.03,,
"011336159","18.03",Census Tract 18.03,,
"011336160","18.03",Census Tract 18.03,,
"011338128","18.03",Census Tract 18.03,,
"011338210","18.03",Census Tract 18.03,,
"011338405","18.03",Census Tract 18.03,,
"011338406","18.03",Census Tract 18.03,,
"011339406","18.03",Census Tract 18.03,,
"011339423","18.03",Census Tract 18.03,,
"011339424","18.03",Census Tract 18.03,,
"011339425","18.03",Census Tract 18.03,,
"011339426","18.03",Census Tract 18.03,,
"011339427","18.03",Census Tract 18.03,,
"011339429","18.03",Census Tract 18.03,,
"011339430","18.03",Census Tract 18.03,,
"011339431","18.03",Census Tract 18.03,,
"011339446","18.03",Census Tract 18.03,,
"011339447","18.03",Census Tract 18.03,,
"011339502","18.03",Census Tract 18.03,,
"011339509","18.03",Census Tract 18.03,,
