apn,shape_area,category,year_built,class,county,unknown,place_name,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,NAMELSAD,STUSPS,NAMELSADCO,STATE_NAME,LSAD,ALAND,AWATER
"011031149",422800,Existing,2016,distribution warehouse,San Bernardino County,"0",Ontario,"06","071","001312",1400000US06071001312,"06071001312","13.12",Census Tract 13.12,CA,San Bernardino County,California,CT,2701222,0
"011031150",1408200,Existing,2016,distribution warehouse,San Bernardino County,"0",Ontario,"06","071","001312",1400000US06071001312,"06071001312","13.12",Census Tract 13.12,CA,San Bernardino County,California,CT,2701222,0
"011031148",315800,Existing,2016,distribution warehouse,San Bernardino County,"0",Ontario,"06","071","001312",1400000US06071001312,"06071001312","13.12",Census Tract 13.12,CA,San Bernardino County,California,CT,2701222,0
"011031151",1823200,Existing,2016,distribution warehouse,San Bernardino County,"0",Ontario,"06","071","001312",1400000US06071001312,"06071001312","13.12",Census Tract 13.12,CA,San Bernardino County,California,CT,2701222,0
"011031146",1071200,Existing,2016,distribution warehouse,San Bernardino County,"0",Ontario,"06","071","001312",1400000US06071001312,"06071001312","13.12",Census Tract 13.12,CA,San Bernardino County,California,CT,2701222,0
"011031160",615400,Existing,2016,distribution warehouse,San Bernardino County,"0",Ontario,"06","071","001312",1400000US06071001312,"06071001312","13.12",Census Tract 13.12,CA,San Bernardino County,California,CT,2701222,0
"011031159",216400,Existing,2015,improvements ass'd associated apn,San Bernardino County,"0",Ontario,"06","071","001312",1400000US06071001312,"06071001312","13.12",Census Tract 13.12,CA,San Bernardino County,California,CT,2701222,0
"011031145",339500,Existing,2016,distribution warehouse,San Bernardino County,"0",Ontario,"06","071","001312",1400000US06071001312,"06071001312","13.12",Census Tract 13.12,CA,San Bernardino County,California,CT,2701222,0
"011335120",67100,Existing,2006,storage warehouse,San Bernardino County,"0",Ontario,"06","071","001803",1400000US06071001803,"06071001803","18.03",Census Tract 18.03,CA,San Bernardino County,California,CT,9195675,0
"011339545",66800,Existing,2002,storage warehouse,San Bernardino County,"0",Ontario,"06","071","001803",1400000US06071001803,"06071001803","18.03",Census Tract 18.03,CA,San Bernardino County,California,CT,9195675,0
"011339544",69600,Existing,2002,storage warehouse,San Bernardino County,"0",Ontario,"06","071","001803",1400000US06071001803,"06071001803","18.03",Census Tract 18.03,CA,San Bernardino County,California,CT,9195675,0
"011344217",308400,Existing,1999,distribution warehouse,San Bernardino County,"0",Ontario,"06","071","001803",1400000US06071001803,"06071001803","18.03",Census Tract 18.03,CA,San Bernardino County,California,CT,9195675,0
"011341445",79000,Existing,2004,storage warehouse,San Bernardino County,"0",Ontario,"06","071","001803",1400000US06071001803,"06071001803","18.03",Census Tract 18.03,CA,San Bernardino County,California,CT,9195675,0
"011339406",89200,Existing,2016,storage warehouse,San Bernardino County,"0",Ontario,"06","071","001803",1400000US06071001803,"06071001803","18.03",Census Tract 18.03,CA,San Bernardino County,California,CT,9195675,0
"011341425",158200,Existing,1980,light industrial,San Bernardino County,"0",Ontario,"06","071","001803",1400000US06071001803,"06071001803","18.03",Census Tract 18.03,CA,San Bernardino County,California,CT,9195675,0
"011340215",779200,Existing,2001,flex,San Bernardino County,"0",Ontario,"06","071","001803",1400000US06071001803,"06071001803","18.03",Census Tract 18.03,CA,San Bernardino County,California,CT,9195675,0
"011339431",241800,Existing,2021,distribution warehouse,San Bernardino County,"0",Ontario,"06","071","001803",1400000US06071001803,"06071001803","18.03",Census Tract 18.03,CA,San Bernardino County,California,CT,9195675,0
"011339430",72900,Existing,1998,storage warehouse,San Bernardino County,"0",Ontario,"06","071","001803",1400000US06071001803,"06071001803","18.03",Census Tract 18.03,CA,San Bernardino County,California,CT,9195675,0
"011340202",390300,Existing,2000,distribution warehouse,San Bernardino County,"0",Ontario,"06","071","001803",1400000US06071001803,"06071001803","18.03",Census Tract 18.03,CA,San Bernardino County,California,CT,9195675,0
"011339429",86600,Existing,1998,storage warehouse,San Bernardino County,"0",Ontario,"06","071","001803",1400000US06071001803,"06071001803","18.03",Census Tract 18.03,CA,San Bernardino County,California,CT,9195675,0
"011336150",83100,Existing,2002,storage warehouse,San Bernardino County,"0",Ontario,"06","071","001803",1400000US06071001803,"06071001803","18.03",Census Tract 18.03,CA,San Bernardino County,California,CT,9195675,0
"011336149",66100,Existing,2002,storage warehouse,San Bernardino County,"0",Ontario,"06","071","001803",1400000US06071001803,"06071001803","18.03",Census Tract 18.03,CA,San Bernardino County,California,CT,9195675,0
"011321141",111900,Existing,2021,storage warehouse,San Bernardino County,"0",Ontario,"06","071","001600",1400000US06071001600,"06071001600","16",Census Tract 16,CA,San Bernardino County,California,CT,12421088,0
"011341573",58200,Existing,2019,storage warehouse,San Bernardino County,"0",Ontario,"06","071","001803",1400000US06071001803,"06071001803","18.03",Census Tract 18.03,CA,San Bernardino County,California,CT,9195675,0
"011341572",103100,Existing,2019,storage warehouse,San Bernardino County,"0",Ontario,"06","071","001803",1400000US06071001803,"06071001803","18.03",Census Tract 18.03,CA,San Bernardino County,California,CT,9195675,0
"011344110",245500,Existing,1997,distribution warehouse,San Bernardino County,"0",Ontario,"06","071","001803",1400000US06071001803,"06071001803","18.03",Census Tract 18.03,CA,San Bernardino County,California,CT,9195675,0
"011344109",393500,Existing,1997,distribution warehouse,San Bernardino County,"0",Ontario,"06","071","001803",1400000US06071001803,"06071001803","18.03",Census Tract 18.03,CA,San Bernardino County,California,CT,9195675,0
"011340106",779200,Existing,2002,flex,San Bernardino County,"0",Ontario,"06","071","001803",1400000US06071001803,"06071001803","18.03",Census Tract 18.03,CA,San Bernardino County,California,CT,9195675,0
"011344112",561200,Existing,1997,distribution warehouse,San Bernardino County,"0",Ontario,"06","071","001803",1400000US06071001803,"06071001803","18.03",Census Tract 18.03,CA,San Bernardino County,California,CT,9195675,0
"011340105",824900,Existing,2000,distribution warehouse,San Bernardino County,"0",Ontario,"06","071","001803",1400000US06071001803,"06071001803","18.03",Census Tract 18.03,CA,San Bernardino County,California,CT,9195675,0
"011327136",279400,Existing,2000,distribution warehouse,San Bernardino County,"0",Ontario,"06","071","001600",1400000US06071001600,"06071001600","16",Census Tract 16,CA,San Bernardino County,California,CT,12421088,0
"011336147",660400,Existing,2000,distribution warehouse,San Bernardino County,"0",Ontario,"06","071","001803",1400000US06071001803,"06071001803","18.03",Census Tract 18.03,CA,San Bernardino County,California,CT,9195675,0
"011327128",57600,Existing,1991,storage warehouse,San Bernardino County,"0",Ontario,"06","071","001600",1400000US06071001600,"06071001600","16",Census Tract 16,CA,San Bernardino County,California,CT,12421088,0
"011327127",52600,Existing,1991,storage warehouse,San Bernardino County,"0",Ontario,"06","071","001600",1400000US06071001600,"06071001600","16",Census Tract 16,CA,San Bernardino County,California,CT,12421088,0
"011339546",112400,Existing,2002,storage warehouse,San Bernardino County,"0",Ontario,"06","071","001803",1400000US06071001803,"06071001803","18.03",Census Tract 18.03,CA,San Bernardino County,California,CT,9195675,0
"011339606",148000,Existing,1991,storage warehouse,San Bernardino County,"0",Ontario,"06","071","001803",1400000US06071001803,"06071001803","18.03",Census Tract 18.03,CA,San Bernardino County,California,CT,9195675,0
"011339607",100700,Existing,1991,storage warehouse,San Bernardino County,"0",Ontario,"06","071","001803",1400000US06071001803,"06071001803","18.03",Census Tract 18.03,CA,San Bernardino County,California,CT,9195675,0
"011339541",92600,Existing,2002,storage warehouse,San Bernardino County,"0",Ontario,"06","071","001803",1400000US06071001803,"06071001803","18.03",Census Tract 18.03,CA,San Bernardino County,California,CT,9195675,0
"011339426",65300,Existing,2001,storage warehouse,San Bernardino County,"0",Ontario,"06","071","001803",1400000US06071001803,"06071001803","18.03",Census Tract 18.03,CA,San Bernardino County,California,CT,9195675,0
"011322131",252500,Existing,2021,distribution warehouse,San Bernardino County,"0",Ontario,"06","071","001600",1400000US06071001600,"06071001600","16",Census Tract 16,CA,San Bernardino County,California,CT,12421088,0
"011327126",59500,Existing,1991,storage warehouse,San Bernardino County,"0",Ontario,"06","071","001600",1400000US06071001600,"06071001600","16",Census Tract 16,CA,San Bernardino County,California,CT,12421088,0
"011327125",54500,Existing,1991,storage warehouse,San Bernardino County,"0",Ontario,"06","071","001600",1400000US06071001600,"06071001600","16",Census Tract 16,CA,San Bernardino County,California,CT,12421088,0
"011327123",62400,Existing,1991,storage warehouse,San Bernardino County,"0",Ontario,"06","071","001600",1400000US06071001600,"06071001600","16",Census Tract 16,CA,San Bernardino County,California,CT,12421088,0
"011340213",53700,Existing,1999,storage warehouse,San Bernardino County,"0",Ontario,"06","071","001803",1400000US06071001803,"06071001803","18.03",Census Tract 18.03,CA,San Bernardino County,California,CT,9195675,0
"011341438",88100,Existing,1998,storage warehouse,San Bernardino County,"0",Ontario,"06","071","001803",1400000US06071001803,"06071001803","18.03",Census Tract 18.03,CA,San Bernardino County,California,CT,9195675,0
"011344219",182900,Existing,1999,distribution warehouse,San Bernardino County,"0",Ontario,"06","071","001803",1400000US06071001803,"06071001803","18.03",Census Tract 18.03,CA,San Bernardino County,California,CT,9195675,0
"011339427",82500,Existing,2001,storage warehouse,San Bernardino County,"0",Ontario,"06","071","001803",1400000US06071001803,"06071001803","18.03",Census Tract 18.03,CA,San Bernardino County,California,CT,9195675,0
"011339511",262100,Existing,1989,distribution warehouse,San Bernardino County,"0",Ontario,"06","071","001803",1400000US06071001803,"06071001803","18.03",Census Tract 18.03,CA,San Bernardino County,California,CT,9195675,0
"011344218",249900,Existing,1999,distribution warehouse,San Bernardino County,"0",Ontario,"06","071","001803",1400000US06071001803,"06071001803","18.03",Census Tract 18.03,CA,San Bernardino County,California,CT,9195675,0
"011339538",254100,Existing,1980,light industrial,San Bernardino County,"0",Ontario,"06","071","001803",1400000US06071001803,"06071001803","18.03",Census Tract 18.03,CA,San Bernardino County,California,CT,9195675,0
"011339612",181200,Existing,1982,storage warehouse,San Bernardino County,"0",Ontario,"06","071","001803",1400000US06071001803,"06071001803","18.03",Census Tract 18.03,CA,San Bernardino County,California,CT,9195675,0
"011336159",289000,Existing,2006,flex,San Bernardino County,"0",Ontario,"06","071","001803",1400000US06071001803,"06071001803","18.03",Census Tract 18.03,CA,San Bernardino County,California,CT,9195675,0
"011336160",70000,Existing,2005,storage warehouse,San Bernardino County,"0",Ontario,"06","071","001803",1400000US06071001803,"06071001803","18.03",Census Tract 18.03,CA,San Bernardino County,California,CT,9195675,0
"011327137",317500,Existing,2000,distribution warehouse,San Bernardino County,"0",Ontario,"06","071","001600",1400000US06071001600,"06071001600","16",Census Tract 16,CA,San Bernardino County,California,CT,12421088,0
"011339610",184900,Existing,2004,light industrial,San Bernardino County,"0",Ontario,"06","071","001803",1400000US06071001803,"06071001803","18.03",Census Tract 18.03,CA,San Bernardino County,California,CT,9195675,0
"011341420",166200,Existing,1980,light industrial,San Bernardino County,"0",Ontario,"06","071","001803",1400000US06071001803,"06071001803","18.03",Census Tract 18.03,CA,San Bernardino County,California,CT,9195675,0
"011339446",107700,Existing,2001,storage warehouse,San Bernardino County,"0",Ontario,"06","071","001803",1400000US06071001803,"06071001803","18.03",Census Tract 18.03,CA,San Bernardino County,California,CT,9195675,0
"011339447",86100,Existing,2001,storage warehouse,San Bernardino County,"0",Ontario,"06","071","001803",1400000US06071001803,"06071001803","18.03",Census Tract 18.03,CA,San Bernardino County,California,CT,9195675,0
"011340216",199300,Existing,2001,distribution warehouse,San Bernardino County,"0",Ontario,"06","071","001803",1400000US06071001803,"06071001803","18.03",Census Tract 18.03,CA,San Bernardino County,California,CT,9195675,0
