apn,NAME1,NAMELSAD1,NAME2,NAMELSAD2,STUPS,NAMELSADCO,STATE_NAME,LSAD,ALAND,AWATER
"011011113",Ontario,Census Tract 16,,,CA,San Bernardino County,California,CT,12421088,0
"011011114",Ontario,Census Tract 16,,,CA,San Bernardino County,California,CT,12421088,0
"011012110",Ontario,Census Tract 16,,,CA,San Bernardino County,California,CT,12421088,0
"011012111",Ontario,Census Tract 16,,,CA,San Bernardino County,California,CT,12421088,0
"011031145",Ontario,Census Tract 13.12,,,CA,San Bernardino County,California,CT,2701222,0
"011031146",Ontario,Census Tract 13.12,,,CA,San Bernardino County,California,CT,2701222,0
"011031148",Ontario,Census Tract 13.12,,,CA,San Bernardino County,California,CT,2701222,0
"011031149",Ontario,Census Tract 13.12,,,CA,San Bernardino County,California,CT,2701222,0
"011031150",Ontario,Census Tract 13.12,,,CA,San Bernardino County,California,CT,2701222,0
"011031151",Ontario,Census Tract 13.12,,,CA,San Bernardino County,California,CT,2701222,0
"011031159",Ontario,Census Tract 13.12,,,CA,San Bernardino County,California,CT,2701222,0
"011031160",Ontario,Census Tract 13.12,,,CA,San Bernardino County,California,CT,2701222,0
"011321141",Ontario,Census Tract 16,,,CA,San Bernardino County,California,CT,12421088,0
"011322131",Ontario,Census Tract 16,,,CA,San Bernardino County,California,CT,12421088,0
"011327110",Ontario,Census Tract 16,,,CA,San Bernardino County,California,CT,12421088,0
"011327123",Ontario,Census Tract 16,,,CA,San Bernardino County,California,CT,12421088,0
"011327125",Ontario,Census Tract 16,,,CA,San Bernardino County,California,CT,12421088,0
"011327126",Ontario,Census Tract 16,,,CA,San Bernardino County,California,CT,12421088,0
"011327127",Ontario,Census Tract 16,,,CA,San Bernardino County,California,CT,12421088,0
"011327128",Ontario,Census Tract 16,,,CA,San Bernardino County,California,CT,12421088,0
"011327136",Ontario,Census Tract 16,,,CA,San Bernardino County,California,CT,12421088,0
"011327137",Ontario,Census Tract 16,,,CA,San Bernardino County,California,CT,12421088,0
"011327138",Ontario,Census Tract 16,,,CA,San Bernardino County,California,CT,12421088,0
"011327139",Ontario,Census Tract 16,,,CA,San Bernardino County,California,CT,12421088,0
"011334329",Ontario,Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
"011334331",Ontario,Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
"011334334",Ontario,Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
"011334339",Ontario,Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
"011335118",Ontario,Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
"011335119",Ontario,Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
"011335120",Ontario,Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
"011335122",Ontario,Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
"011335123",Ontario,Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
"011335124",Ontario,Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
"011335125",Ontario,Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
"011335126",Ontario,Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
"011335127",Ontario,Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
"011336147",Ontario,Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
"011336149",Ontario,Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
"011336150",Ontario,Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
"011336155",Ontario,Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
"011336156",Ontario,Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
"011336157",Ontario,Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
"011336158",Ontario,Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
"011336159",Ontario,Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
"011336160",Ontario,Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
"011338210",Ontario,Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
"011338405",Ontario,Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
"011338406",Ontario,Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
"011339406",Ontario,Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
"011339423",Ontario,Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
"011339424",Ontario,Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
"011339425",Ontario,Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
"011339426",Ontario,Census Tract 18.03,,,CA,San Bernardino County,California,CT,9195675,0
