apn,shape_area,category,year_built,class,county,unknown,place_name
"011031151",1823200,Existing,2016,distribution warehouse,San Bernardino County,"0",Ontario
"011031149",422800,Existing,2016,distribution warehouse,San Bernardino County,"0",Ontario
"011031150",1408200,Existing,2016,distribution warehouse,San Bernardino County,"0",Ontario
"011031148",315800,Existing,2016,distribution warehouse,San Bernardino County,"0",Ontario
"011031146",1071200,Existing,2016,distribution warehouse,San Bernardino County,"0",Ontario
"011031160",615400,Existing,2016,distribution warehouse,San Bernardino County,"0",Ontario
"011031159",216400,Existing,2015,improvements ass'd associated apn,San Bernardino County,"0",Ontario
"011031145",339500,Existing,2016,distribution warehouse,San Bernardino County,"0",Ontario
"011012111",53700,Existing,2023,distribution warehouse,San Bernardino County,"0",Ontario
"011339553",73600,Existing,2006,storage warehouse,San Bernardino County,"0",Ontario
"011335119",56700,Existing,2006,storage warehouse,San Bernardino County,"0",Ontario
"011335118",67200,Existing,2006,storage warehouse,San Bernardino County,"0",Ontario
"011339609",68200,Existing,1991,storage warehouse,San Bernardino County,"0",Ontario
"011344216",711400,Existing,1999,distribution warehouse,San Bernardino County,"0",Ontario
"011335120",67100,Existing,2006,storage warehouse,San Bernardino County,"0",Ontario
"011339545",66800,Existing,2002,storage warehouse,San Bernardino County,"0",Ontario
"011339544",69600,Existing,2002,storage warehouse,San Bernardino County,"0",Ontario
"011344217",308400,Existing,1999,distribution warehouse,San Bernardino County,"0",Ontario
"011341445",79000,Existing,2004,storage warehouse,San Bernardino County,"0",Ontario
"011334334",187100,Existing,2017,distribution warehouse,San Bernardino County,"0",Ontario
"011339406",89200,Existing,2016,storage warehouse,San Bernardino County,"0",Ontario
"011341425",158200,Existing,1980,light industrial,San Bernardino County,"0",Ontario
"011340215",779200,Existing,2001,flex,San Bernardino County,"0",Ontario
"011339431",241800,Existing,2021,distribution warehouse,San Bernardino County,"0",Ontario
"011339430",72900,Existing,1998,storage warehouse,San Bernardino County,"0",Ontario
"011340202",390300,Existing,2000,distribution warehouse,San Bernardino County,"0",Ontario
"011339429",86600,Existing,1998,storage warehouse,San Bernardino County,"0",Ontario
"011336150",83100,Existing,2002,storage warehouse,San Bernardino County,"0",Ontario
"011336149",66100,Existing,2002,storage warehouse,San Bernardino County,"0",Ontario
"011343108",335100,Existing,2002,distribution warehouse,San Bernardino County,"0",Ontario
"011334331",78100,Existing,2016,storage warehouse,San Bernardino County,"0",Ontario
"011334339",137300,Existing,2005,storage warehouse,San Bernardino County,"0",Ontario
"011341573",58200,Existing,2019,storage warehouse,San Bernardino County,"0",Ontario
"011341572",103100,Existing,2019,storage warehouse,San Bernardino County,"0",Ontario
"011344110",245500,Existing,1997,distribution warehouse,San Bernardino County,"0",Ontario
"011344109",393500,Existing,1997,distribution warehouse,San Bernardino County,"0",Ontario
"011339546",112400,Existing,2002,storage warehouse,San Bernardino County,"0",Ontario
"011339606",148000,Existing,1991,storage warehouse,San Bernardino County,"0",Ontario
"011339607",100700,Existing,1991,storage warehouse,San Bernardino County,"0",Ontario
"011339541",92600,Existing,2002,storage warehouse,San Bernardino County,"0",Ontario
"011339426",65300,Existing,2001,storage warehouse,San Bernardino County,"0",Ontario
"011343107",475000,Existing,2002,flex,San Bernardino County,"0",Ontario
"011334329",64800,Existing,1988,storage warehouse,San Bernardino County,"0",Ontario
"011342105",716600,Existing,1996,light industrial,San Bernardino County,"0",Ontario
"011340106",779200,Existing,2002,flex,San Bernardino County,"0",Ontario
"011344112",561200,Existing,1997,distribution warehouse,San Bernardino County,"0",Ontario
"011340105",824900,Existing,2000,distribution warehouse,San Bernardino County,"0",Ontario
"011327136",279400,Existing,2000,distribution warehouse,San Bernardino County,"0",Ontario
"011336147",660400,Existing,2000,distribution warehouse,San Bernardino County,"0",Ontario
"011327128",57600,Existing,1991,storage warehouse,San Bernardino County,"0",Ontario
"011327127",52600,Existing,1991,storage warehouse,San Bernardino County,"0",Ontario
"011339610",184900,Existing,2004,light industrial,San Bernardino County,"0",Ontario
"011341420",166200,Existing,1980,light industrial,San Bernardino County,"0",Ontario
"011339446",107700,Existing,2001,storage warehouse,San Bernardino County,"0",Ontario
"011339447",86100,Existing,2001,storage warehouse,San Bernardino County,"0",Ontario
"011340216",199300,Existing,2001,distribution warehouse,San Bernardino County,"0",Ontario
"011343109",1552200,Existing,2002,flex,San Bernardino County,"0",Ontario
"011335126",213600,Existing,2008,flex,San Bernardino County,"0",Ontario
"011342106",407700,Existing,1996,distribution warehouse,San Bernardino County,"0",Ontario
"011335124",66500,Existing,2008,storage warehouse,San Bernardino County,"0",Ontario
"011335122",75100,Existing,2008,storage warehouse,San Bernardino County,"0",Ontario
"011327126",59500,Existing,1991,storage warehouse,San Bernardino County,"0",Ontario
"011327125",54500,Existing,1991,storage warehouse,San Bernardino County,"0",Ontario
"011327123",62400,Existing,1991,storage warehouse,San Bernardino County,"0",Ontario
"011335125",74600,Existing,2008,storage warehouse,San Bernardino County,"0",Ontario
"011335123",62300,Existing,2008,storage warehouse,San Bernardino County,"0",Ontario
"011336159",289000,Existing,2006,flex,San Bernardino County,"0",Ontario
"011339427",82500,Existing,2001,storage warehouse,San Bernardino County,"0",Ontario
"011339511",262100,Existing,1989,distribution warehouse,San Bernardino County,"0",Ontario
"011344218",249900,Existing,1999,distribution warehouse,San Bernardino County,"0",Ontario
"011339538",254100,Existing,1980,light industrial,San Bernardino County,"0",Ontario
"011339612",181200,Existing,1982,storage warehouse,San Bernardino County,"0",Ontario
"011335127",65700,Existing,2008,storage warehouse,San Bernardino County,"0",Ontario
"011342214",444900,Existing,2003,light industrial,San Bernardino County,"0",Ontario
"011342107",353700,Existing,1996,distribution warehouse,San Bernardino County,"0",Ontario
"011336160",70000,Existing,2005,storage warehouse,San Bernardino County,"0",Ontario
"011327137",317500,Existing,2000,distribution warehouse,San Bernardino County,"0",Ontario
"011012110",193100,Existing,1982,distribution warehouse,San Bernardino County,"0",Ontario
"011011114",70900,Existing,2021,storage warehouse,San Bernardino County,"0",Ontario
"011011113",75000,Existing,2021,storage warehouse,San Bernardino County,"0",Ontario
"011327139",131700,Existing,2000,distribution warehouse,San Bernardino County,"0",Ontario
"011327138",226700,Existing,2000,distribution warehouse,San Bernardino County,"0",Ontario
"011339502",275600,Existing,1990,light industrial,San Bernardino County,"0",Ontario
"011321141",111900,Existing,2021,storage warehouse,San Bernardino County,"0",Ontario
"011344111",334800,Existing,1997,distribution warehouse,San Bernardino County,"0",Ontario
"011339423",304600,Existing,1989,light industrial,San Bernardino County,"0",Ontario
"011339425",215400,Existing,1989,flex,San Bernardino County,"0",Ontario
"011339529",54900,Existing,1988,storage warehouse,San Bernardino County,"0",Ontario
"011339604",221800,Existing,2016,distribution warehouse,San Bernardino County,"0",Ontario
"011336158",66500,Existing,2006,storage warehouse,San Bernardino County,"0",Ontario
"011341574",372300,Existing,2022,distribution warehouse,San Bernardino County,"0",Ontario
"011327110",465300,Existing,1989,distribution warehouse,San Bernardino County,"0",Ontario
"011322131",252500,Existing,2021,distribution warehouse,San Bernardino County,"0",Ontario
"011339551",108500,Existing,1987,storage warehouse,San Bernardino County,"0",Ontario
"011339552",60300,Existing,2006,storage warehouse,San Bernardino County,"0",Ontario
"011339424",194000,Existing,1991,flex,San Bernardino County,"0",Ontario
"011336157",61200,Existing,2006,storage warehouse,San Bernardino County,"0",Ontario
"011336156",53800,Existing,2006,storage warehouse,San Bernardino County,"0",Ontario
"011336155",60500,Existing,2006,storage warehouse,San Bernardino County,"0",Ontario
"011345135",92300,Existing,2022,storage warehouse,San Bernardino County,"0",Ontario
"011364107",68100,Existing,2000,storage warehouse,San Bernardino County,"0",Ontario
"011349182",1280400,Existing,2005,light industrial,San Bernardino County,"0",Ontario
"011358113",56600,Existing,1984,distribution warehouse,San Bernardino County,"0",Ontario
"011345129",358400,Existing,1988,light industrial,San Bernardino County,"0",Ontario
"011345136",243300,Existing,2022,storage warehouse,San Bernardino County,"0",Ontario
"011345137",238700,Existing,1980,distribution warehouse,San Bernardino County,"0",Ontario
"011364103",77000,Existing,1999,storage warehouse,San Bernardino County,"0",Ontario
"011364101",67000,Existing,1999,storage warehouse,San Bernardino County,"0",Ontario
"011340213",53700,Existing,1999,storage warehouse,San Bernardino County,"0",Ontario
"011341438",88100,Existing,1998,storage warehouse,San Bernardino County,"0",Ontario
"011344219",182900,Existing,1999,distribution warehouse,San Bernardino County,"0",Ontario
"011346227",185600,Existing,2022,light industrial,San Bernardino County,"0",Ontario
"011346224",55200,Existing,2002,storage warehouse,San Bernardino County,"0",Ontario
"011341441",59400,Existing,2002,storage warehouse,San Bernardino County,"0",Ontario
"011341440",57500,Existing,2002,storage warehouse,San Bernardino County,"0",Ontario
"011346221",176300,Existing,1988,light industrial,San Bernardino County,"0",Ontario
"011345132",330800,Existing,2017,distribution warehouse,San Bernardino County,"0",Ontario
"011339539",102000,Existing,2001,storage warehouse,San Bernardino County,"0",Ontario
"011364109",61800,Existing,2000,storage warehouse,San Bernardino County,"0",Ontario
"011364114",169500,Existing,2022,flex,San Bernardino County,"0",Ontario
"011339540",79900,Existing,2001,storage warehouse,San Bernardino County,"0",Ontario
"011339509",72400,Existing,1987,storage warehouse,San Bernardino County,"0",Ontario
"011338406",129600,Existing,1989,storage warehouse,San Bernardino County,"0",Ontario
"011364104",59700,Existing,1999,storage warehouse,San Bernardino County,"0",Ontario
"011338210",186300,Existing,1989,flex,San Bernardino County,"0",Ontario
"011346226",78700,Existing,2002,storage warehouse,San Bernardino County,"0",Ontario
"011338405",175500,Existing,1990,storage warehouse,San Bernardino County,"0",Ontario
"011349130",342300,Existing,1988,distribution warehouse,San Bernardino County,"0",Ontario
"011364105",67200,Existing,1999,storage warehouse,San Bernardino County,"0",Ontario
"011364108",98500,Existing,2000,storage warehouse,San Bernardino County,"0",Ontario
"011349118",777700,Existing,2012,distribution warehouse,San Bernardino County,"0",Ontario
"011345134",107900,Existing,2022,storage warehouse,San Bernardino County,"0",Ontario
"011349139",217700,Existing,1987,light industrial,San Bernardino County,"0",Ontario
"011345119",151600,Existing,1999,light industrial,San Bernardino County,"0",Ontario
"011345133",271700,Existing,1980,light industrial,San Bernardino County,"0",Ontario
"011364106",102100,Existing,1999,storage warehouse,San Bernardino County,"0",Ontario
"011349171",71800,Existing,1992,storage warehouse,San Bernardino County,"0",Ontario
"012813107",222100,Existing,1980,light industrial,San Bernardino County,"0",Rialto
