STATEFP,PLACEFP,PLACENS,AFFGEOID,GEOID,NAME,NAMELSAD,STUSPS,STATE_NAME,LSAD,ALAND,AWATER,STATEFP.1,COUNTYFP,COUNTYNS,AFFGEOID.1,GEOID.1,NAME.1,NAMELSAD.1,STUSPS.1,STATE_NAME.1,LSAD.1,ALAND.1,AWATER.1
"06","33434","02410751",1600000US0633434,"0633434",Hesperia,Hesperia city,CA,California,"25",188241904,251762,"06","071","00277300",0500000US06071,"06071",San Bernardino,San Bernardino County,CA,California,"06",51975908919,96406054
"06","86720","02805257",1600000US0686720,"0686720",Yermo,Yermo CDP,CA,California,"57",1680240,12788,"06","071","00277300",0500000US06071,"06071",San Bernardino,San Bernardino County,CA,California,"06",51975908919,96406054
"06","50132","02408894",1600000US0650132,"0650132",Muscoy,Muscoy CDP,CA,California,"57",7876493,0,"06","071","00277300",0500000US06071,"06071",San Bernardino,San Bernardino County,CA,California,"06",51975908919,96406054
"06","64462","02409248",1600000US0664462,"0664462",San Antonio Heights,San Antonio Heights CDP,CA,California,"57",6334954,417287,"06","071","00277300",0500000US06071,"06071",San Bernardino,San Bernardino County,CA,California,"06",51975908919,96406054
"06","71964","02583143",1600000US0671964,"0671964",Silver Lakes,Silver Lakes CDP,CA,California,"57",13560375,1158282,"06","071","00277300",0500000US06071,"06071",San Bernardino,San Bernardino County,CA,California,"06",51975908919,96406054
"06","65000","02411777",1600000US0665000,"0665000",San Bernardino,San Bernardino city,CA,California,"25",160920195,853495,"06","071","00277300",0500000US06071,"06071",San Bernardino,San Bernardino County,CA,California,"06",51975908919,96406054
"06","13214","02409454",1600000US0613214,"0613214",Chino Hills,Chino Hills city,CA,California,"25",115642342,123913,"06","071","00277300",0500000US06071,"06071",San Bernardino,San Bernardino County,CA,California,"06",51975908919,96406054
"06","80994","02412119",1600000US0680994,"0680994",Twentynine Palms,Twentynine Palms city,CA,California,"25",152157672,0,"06","071","00277300",0500000US06071,"06071",San Bernardino,San Bernardino County,CA,California,"06",51975908919,96406054
"06","82590","02412156",1600000US0682590,"0682590",Victorville,Victorville city,CA,California,"25",190908178,744967,"06","071","00277300",0500000US06071,"06071",San Bernardino,San Bernardino County,CA,California,"06",51975908919,96406054
"06","13210","02409453",1600000US0613210,"0613210",Chino,Chino city,CA,California,"25",76677037,249662,"06","071","00277300",0500000US06071,"06071",San Bernardino,San Bernardino County,CA,California,"06",51975908919,96406054
"06","33588","02410759",1600000US0633588,"0633588",Highland,Highland city,CA,California,"25",48099959,244008,"06","071","00277300",0500000US06071,"06071",San Bernardino,San Bernardino County,CA,California,"06",51975908919,96406054
"06","49684","02408883",1600000US0649684,"0649684",Mountain View Acres,Mountain View Acres CDP,CA,California,"57",4114534,0,"06","071","00277300",0500000US06071,"06071",San Bernardino,San Bernardino County,CA,California,"06",51975908919,96406054
"06","46884","02408816",1600000US0646884,"0646884",Mentone,Mentone CDP,CA,California,"57",15826124,30802,"06","071","00277300",0500000US06071,"06071",San Bernardino,San Bernardino County,CA,California,"06",51975908919,96406054
"06","37554","02408454",1600000US0637554,"0637554",Joshua Tree,Joshua Tree CDP,CA,California,"57",93463461,0,"06","071","00277300",0500000US06071,"06071",San Bernardino,San Bernardino County,CA,California,"06",51975908919,96406054
"06","39444","02408532",1600000US0639444,"0639444",Lake Arrowhead,Lake Arrowhead CDP,CA,California,"57",45786322,3169654,"06","071","00277300",0500000US06071,"06071",San Bernardino,San Bernardino County,CA,California,"06",51975908919,96406054
"06","63316","02409224",1600000US0663316,"0663316",Running Springs,Running Springs CDP,CA,California,"57",10888685,23184,"06","071","00277300",0500000US06071,"06071",San Bernardino,San Bernardino County,CA,California,"06",51975908919,96406054
"06","06635","02407844",1600000US0606635,"0606635",Big River,Big River CDP,CA,California,"57",28050915,1344398,"06","071","00277300",0500000US06071,"06071",San Bernardino,San Bernardino County,CA,California,"06",51975908919,96406054
"06","41194","02408601",1600000US0641194,"0641194",Lenwood,Lenwood CDP,CA,California,"57",5389420,0,"06","071","00277300",0500000US06071,"06071",San Bernardino,San Bernardino County,CA,California,"06",51975908919,96406054
"06","49348","02408870",1600000US0649348,"0649348",Morongo Valley,Morongo Valley CDP,CA,California,"57",65317007,0,"06","071","00277300",0500000US06071,"06071",San Bernardino,San Bernardino County,CA,California,"06",51975908919,96406054
"06","86594","02409630",1600000US0686594,"0686594",Wrightwood,Wrightwood CDP,CA,California,"57",15414197,8669,"06","071","00277300",0500000US06071,"06071",San Bernardino,San Bernardino County,CA,California,"06",51975908919,96406054
"06","59451","02411514",1600000US0659451,"0659451",Rancho Cucamonga,Rancho Cucamonga city,CA,California,"25",103885614,24723,"06","071","00277300",0500000US06071,"06071",San Bernardino,San Bernardino County,CA,California,"06",51975908919,96406054
"06","24680","02410517",1600000US0624680,"0624680",Fontana,Fontana city,CA,California,"25",111552124,0,"06","071","00277300",0500000US06071,"06071",San Bernardino,San Bernardino County,CA,California,"06",51975908919,96406054
"06","30658","02410634",1600000US0630658,"0630658",Grand Terrace,Grand Terrace city,CA,California,"25",9072646,0,"06","071","00277300",0500000US06071,"06071",San Bernardino,San Bernardino County,CA,California,"06",51975908919,96406054
"06","42370","02410857",1600000US0642370,"0642370",Loma Linda,Loma Linda city,CA,California,"25",19786632,2371,"06","071","00277300",0500000US06071,"06071",San Bernardino,San Bernardino County,CA,California,"06",51975908919,96406054
"06","60466","02410931",1600000US0660466,"0660466",Rialto,Rialto city,CA,California,"25",62393481,0,"06","071","00277300",0500000US06071,"06071",San Bernardino,San Bernardino County,CA,California,"06",51975908919,96406054
"06","06434","02409843",1600000US0606434,"0606434",Big Bear Lake,Big Bear Lake city,CA,California,"25",16164304,474774,"06","071","00277300",0500000US06071,"06071",San Bernardino,San Bernardino County,CA,California,"06",51975908919,96406054
"06","59962","02411532",1600000US0659962,"0659962",Redlands,Redlands city,CA,California,"25",93218621,673021,"06","071","00277300",0500000US06071,"06071",San Bernardino,San Bernardino County,CA,California,"06",51975908919,96406054
"06","04030","02409790",1600000US0604030,"0604030",Barstow,Barstow city,CA,California,"25",106964252,112301,"06","071","00277300",0500000US06071,"06071",San Bernardino,San Bernardino County,CA,California,"06",51975908919,96406054
"06","56826","02627935",1600000US0656826,"0656826",Phelan,Phelan CDP,CA,California,"57",155638217,0,"06","071","00277300",0500000US06071,"06071",San Bernardino,San Bernardino County,CA,California,"06",51975908919,96406054
"06","44420","02627937",1600000US0644420,"0644420",Lucerne Valley,Lucerne Valley CDP,CA,California,"57",273570981,0,"06","071","00277300",0500000US06071,"06071",San Bernardino,San Bernardino County,CA,California,"06",51975908919,96406054
"06","52715","02583099",1600000US0652715,"0652715",Oak Glen,Oak Glen CDP,CA,California,"57",38839776,11185,"06","071","00277300",0500000US06071,"06071",San Bernardino,San Bernardino County,CA,California,"06",51975908919,96406054
"06","07172","02407869",1600000US0607172,"0607172",Bluewater,Bluewater CDP,CA,California,"57",2711814,766390,"06","071","00277300",0500000US06071,"06071",San Bernardino,San Bernardino County,CA,California,"06",51975908919,96406054
"06","34392","02629366",1600000US0634392,"0634392",Homestead Valley,Homestead Valley CDP,CA,California,"57",87686964,0,"06","071","00277300",0500000US06071,"06071",San Bernardino,San Bernardino County,CA,California,"06",51975908919,96406054
"06","17162","02407681",1600000US0617162,"0617162",Crestline,Crestline CDP,CA,California,"57",36012359,308820,"06","071","00277300",0500000US06071,"06071",San Bernardino,San Bernardino County,CA,California,"06",51975908919,96406054
"06","70728","02409296",1600000US0670728,"0670728",Searles Valley,Searles Valley CDP,CA,California,"57",27186893,0,"06","071","00277300",0500000US06071,"06071",San Bernardino,San Bernardino County,CA,California,"06",51975908919,96406054
