STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,NAMELSAD,STUSPS,NAMELSADCO,STATE_NAME,LSAD,ALAND,AWATER
"06","071","008800",1400000US06071008800,"06071008800","88",Census Tract 88,CA,San Bernardino County,California,CT,3167796,0
"06","071","006204",1400000US06071006204,"06071006204","62.04",Census Tract 62.04,CA,San Bernardino County,California,CT,1129808,0
"06","071","004604",1400000US06071004604,"06071004604","46.04",Census Tract 46.04,CA,San Bernardino County,California,CT,2407936,0
"06","071","003505",1400000US06071003505,"06071003505","35.05",Census Tract 35.05,CA,San Bernardino County,California,CT,1306694,0
"06","071","003405",1400000US06071003405,"06071003405","34.05",Census Tract 34.05,CA,San Bernardino County,California,CT,934271,0
"06","071","007603",1400000US06071007603,"06071007603","76.03",Census Tract 76.03,CA,San Bernardino County,California,CT,1677399,0
"06","071","002804",1400000US06071002804,"06071002804","28.04",Census Tract 28.04,CA,San Bernardino County,California,CT,1003614,0
"06","071","000818",1400000US06071000818,"06071000818","8.18",Census Tract 8.18,CA,San Bernardino County,California,CT,2854112,0
"06","071","000826",1400000US06071000826,"06071000826","8.26",Census Tract 8.26,CA,San Bernardino County,California,CT,1699039,0
"06","071","000108",1400000US06071000108,"06071000108","1.08",Census Tract 1.08,CA,San Bernardino County,California,CT,2879342,0
"06","071","001706",1400000US06071001706,"06071001706","17.06",Census Tract 17.06,CA,San Bernardino County,California,CT,1114627,0
"06","071","001400",1400000US06071001400,"06071001400","14",Census Tract 14,CA,San Bernardino County,California,CT,1145117,0
"06","071","001906",1400000US06071001906,"06071001906","19.06",Census Tract 19.06,CA,San Bernardino County,California,CT,7802825,0
"06","071","001806",1400000US06071001806,"06071001806","18.06",Census Tract 18.06,CA,San Bernardino County,California,CT,1463379,0
"06","071","002017",1400000US06071002017,"06071002017","20.17",Census Tract 20.17,CA,San Bernardino County,California,CT,6097370,0
"06","071","002103",1400000US06071002103,"06071002103","21.03",Census Tract 21.03,CA,San Bernardino County,California,CT,861658,0
"06","071","001810",1400000US06071001810,"06071001810","18.10",Census Tract 18.10,CA,San Bernardino County,California,CT,988342,0
"06","071","012300",1400000US06071012300,"06071012300","123",Census Tract 123,CA,San Bernardino County,California,CT,963202,0
"06","071","008100",1400000US06071008100,"06071008100","81",Census Tract 81,CA,San Bernardino County,California,CT,1856743,0
"06","071","008709",1400000US06071008709,"06071008709","87.09",Census Tract 87.09,CA,San Bernardino County,California,CT,2809468,0
"06","071","000304",1400000US06071000304,"06071000304","3.04",Census Tract 3.04,CA,San Bernardino County,California,CT,3229927,0
"06","071","004800",1400000US06071004800,"06071004800","48",Census Tract 48,CA,San Bernardino County,California,CT,866044,0
"06","071","008404",1400000US06071008404,"06071008404","84.04",Census Tract 84.04,CA,San Bernardino County,California,CT,1295176,0
"06","071","002311",1400000US06071002311,"06071002311","23.11",Census Tract 23.11,CA,San Bernardino County,California,CT,1359298,0
"06","071","010805",1400000US06071010805,"06071010805","108.05",Census Tract 108.05,CA,San Bernardino County,California,CT,200414768,3666001
"06","071","009123",1400000US06071009123,"06071009123","91.23",Census Tract 91.23,CA,San Bernardino County,California,CT,23137808,0
"06","071","010042",1400000US06071010042,"06071010042","100.42",Census Tract 100.42,CA,San Bernardino County,California,CT,10981634,0
"06","071","009130",1400000US06071009130,"06071009130","91.30",Census Tract 91.30,CA,San Bernardino County,California,CT,1630836,0
"06","071","009128",1400000US06071009128,"06071009128","91.28",Census Tract 91.28,CA,San Bernardino County,California,CT,7785380,0
"06","071","009138",1400000US06071009138,"06071009138","91.38",Census Tract 91.38,CA,San Bernardino County,California,CT,3120675,0
"06","071","009139",1400000US06071009139,"06071009139","91.39",Census Tract 91.39,CA,San Bernardino County,California,CT,3918915,0
"06","071","007605",1400000US06071007605,"06071007605","76.05",Census Tract 76.05,CA,San Bernardino County,California,CT,787988,0
"06","071","005102",1400000US06071005102,"06071005102","51.02",Census Tract 51.02,CA,San Bernardino County,California,CT,1840270,0
"06","071","002707",1400000US06071002707,"06071002707","27.07",Census Tract 27.07,CA,San Bernardino County,California,CT,1499873,0
"06","071","002048",1400000US06071002048,"06071002048","20.48",Census Tract 20.48,CA,San Bernardino County,California,CT,1565671,0
"06","071","009501",1400000US06071009501,"06071009501","95.01",Census Tract 95.01,CA,San Bernardino County,California,CT,2084011,0
"06","071","010036",1400000US06071010036,"06071010036","100.36",Census Tract 100.36,CA,San Bernardino County,California,CT,4278647,0
"06","071","009914",1400000US06071009914,"06071009914","99.14",Census Tract 99.14,CA,San Bernardino County,California,CT,2736841,0
"06","071","008708",1400000US06071008708,"06071008708","87.08",Census Tract 87.08,CA,San Bernardino County,California,CT,3535108,0
"06","071","007408",1400000US06071007408,"06071007408","74.08",Census Tract 74.08,CA,San Bernardino County,California,CT,1299414,0
"06","071","006402",1400000US06071006402,"06071006402","64.02",Census Tract 64.02,CA,San Bernardino County,California,CT,1970757,0
"06","071","008302",1400000US06071008302,"06071008302","83.02",Census Tract 83.02,CA,San Bernardino County,California,CT,4709501,0
"06","071","007107",1400000US06071007107,"06071007107","71.07",Census Tract 71.07,CA,San Bernardino County,California,CT,2364324,19737
"06","071","003302",1400000US06071003302,"06071003302","33.02",Census Tract 33.02,CA,San Bernardino County,California,CT,2697455,0
"06","071","002803",1400000US06071002803,"06071002803","28.03",Census Tract 28.03,CA,San Bernardino County,California,CT,1000100,0
"06","071","007110",1400000US06071007110,"06071007110","71.10",Census Tract 71.10,CA,San Bernardino County,California,CT,2500394,0
"06","071","000808",1400000US06071000808,"06071000808","8.08",Census Tract 8.08,CA,San Bernardino County,California,CT,2564881,0
"06","071","001200",1400000US06071001200,"06071001200","12",Census Tract 12,CA,San Bernardino County,California,CT,1540368,0
"06","071","001104",1400000US06071001104,"06071001104","11.04",Census Tract 11.04,CA,San Bernardino County,California,CT,1792399,0
"06","071","009906",1400000US06071009906,"06071009906","99.06",Census Tract 99.06,CA,San Bernardino County,California,CT,2455795,0
